sample_idx,forecast_start,timestamp,hour,horizon,actual,predicted,error,abs_error,ape_pct,is_daytime
7225,2025-12-03 14:00:00,2025-12-04 05:00:00,5,16,161.8000030517578,624.8355102539062,463.03550720214844,463.03550720214844,286.1776875579101,False
5202,2025-09-10 07:00:00,2025-09-11 05:00:00,5,23,199.22999572753906,661.9225463867188,462.6925506591797,462.6925506591797,232.2404058533154,False
976,2025-03-18 05:00:00,2025-03-19 03:00:00,3,23,217.85000610351562,679.5284423828125,461.6784362792969,461.6784362792969,211.92491317164414,False
994,2025-03-18 23:00:00,2025-03-19 04:00:00,4,6,226.27000427246094,686.2169189453125,459.94691467285156,459.94691467285156,203.27348123395566,False
7224,2025-12-03 13:00:00,2025-12-04 06:00:00,6,18,121.68000030517578,581.3314208984375,459.6514205932617,459.6514205932617,377.7542894809723,True
7228,2025-12-03 17:00:00,2025-12-04 06:00:00,6,14,121.68000030517578,577.7199096679688,456.03990936279297,456.03990936279297,374.7862493581822,True
7227,2025-12-03 16:00:00,2025-12-04 05:00:00,5,14,161.8000030517578,617.1602172851562,455.36021423339844,455.36021423339844,281.433996072135,False
4651,2025-08-18 08:00:00,2025-08-19 05:00:00,5,22,226.64999389648438,681.9419555664062,455.2919616699219,455.2919616699219,200.8788766514871,False
7224,2025-12-03 13:00:00,2025-12-04 05:00:00,5,17,161.8000030517578,615.9656982421875,454.1656951904297,454.1656951904297,280.6957272090704,False
977,2025-03-18 06:00:00,2025-03-19 03:00:00,3,22,217.85000610351562,671.5584106445312,453.7084045410156,453.7084045410156,208.2664180993538,False
5207,2025-09-10 12:00:00,2025-09-11 05:00:00,5,18,199.22999572753906,650.5397338867188,451.3097381591797,451.3097381591797,226.527002879816,False
7230,2025-12-03 19:00:00,2025-12-04 06:00:00,6,12,121.68000030517578,572.2882080078125,450.6082077026367,450.6082077026367,370.3223262430166,True
987,2025-03-18 16:00:00,2025-03-19 05:00:00,5,14,231.0,681.0198974609375,450.0198974609375,450.0198974609375,194.81380842464827,False
4655,2025-08-18 12:00:00,2025-08-19 05:00:00,5,18,226.64999389648438,676.593505859375,449.9435119628906,449.9435119628906,198.5190929095674,False
7233,2025-12-03 22:00:00,2025-12-04 06:00:00,6,9,121.68000030517578,571.0775756835938,449.39757537841797,449.39757537841797,369.32739501259056,True
4664,2025-08-18 21:00:00,2025-08-19 05:00:00,5,9,226.64999389648438,673.9107666015625,447.2607727050781,447.2607727050781,197.33544440744663,False
4653,2025-08-18 10:00:00,2025-08-19 05:00:00,5,20,226.64999389648438,673.5283203125,446.8783264160156,446.8783264160156,197.16670569164629,False
7225,2025-12-03 14:00:00,2025-12-04 06:00:00,6,17,121.68000030517578,568.08544921875,446.4054489135742,446.4054489135742,366.8683824736857,True
981,2025-03-18 10:00:00,2025-03-19 05:00:00,5,20,231.0,677.3123779296875,446.3123779296875,446.3123779296875,193.20882161458331,False
983,2025-03-18 12:00:00,2025-03-19 05:00:00,5,18,231.0,676.2054443359375,445.2054443359375,445.2054443359375,192.72962958265694,False
7229,2025-12-03 18:00:00,2025-12-04 06:00:00,6,13,121.68000030517578,565.9564208984375,444.2764205932617,444.2764205932617,365.1186879347534,True
986,2025-03-18 15:00:00,2025-03-19 05:00:00,5,15,231.0,672.9890747070312,441.98907470703125,441.98907470703125,191.3372617779356,False
5208,2025-09-10 13:00:00,2025-09-11 05:00:00,5,17,199.22999572753906,640.1481323242188,440.9181365966797,440.9181365966797,221.31112084129444,False
7226,2025-12-03 15:00:00,2025-12-04 06:00:00,6,16,121.68000030517578,562.1817626953125,440.5017623901367,440.5017623901367,362.0165691036734,True
4660,2025-08-18 17:00:00,2025-08-19 05:00:00,5,13,226.64999389648438,667.0917358398438,440.4417419433594,440.4417419433594,194.32682718029014,False
979,2025-03-18 08:00:00,2025-03-19 05:00:00,5,22,231.0,669.5447998046875,438.5447998046875,438.5447998046875,189.8462336816829,False
7217,2025-12-03 06:00:00,2025-12-04 05:00:00,5,24,161.8000030517578,600.2130126953125,438.4130096435547,438.4130096435547,270.95982779636404,False
1522,2025-04-09 23:00:00,2025-04-10 06:00:00,6,8,160.4499969482422,598.7528686523438,438.30287170410156,438.30287170410156,273.1710065694105,True
7227,2025-12-03 16:00:00,2025-12-04 06:00:00,6,15,121.68000030517578,559.5457153320312,437.86571502685547,437.86571502685547,359.85019224907944,True
980,2025-03-18 09:00:00,2025-03-19 05:00:00,5,21,231.0,668.69921875,437.69921875,437.69921875,189.4801812770563,False
4661,2025-08-18 18:00:00,2025-08-19 05:00:00,5,12,226.64999389648438,664.3156127929688,437.6656188964844,437.6656188964844,193.10197691704997,False
994,2025-03-18 23:00:00,2025-03-19 05:00:00,5,7,231.0,668.49609375,437.49609375,437.49609375,189.39224837662337,False
4662,2025-08-18 19:00:00,2025-08-19 05:00:00,5,11,226.64999389648438,663.8894653320312,437.2394714355469,437.2394714355469,192.9139568542159,False
4654,2025-08-18 11:00:00,2025-08-19 05:00:00,5,19,226.64999389648438,663.4288330078125,436.7788391113281,436.7788391113281,192.7107217619489,False
7234,2025-12-03 23:00:00,2025-12-04 06:00:00,6,8,121.68000030517578,558.0950317382812,436.41503143310547,436.41503143310547,358.65798022564775,True
5204,2025-09-10 09:00:00,2025-09-11 05:00:00,5,21,199.22999572753906,635.5300903320312,436.3000946044922,436.3000946044922,218.99317570691665,False
7223,2025-12-03 12:00:00,2025-12-04 06:00:00,6,19,121.68000030517578,557.9346313476562,436.25463104248047,436.25463104248047,358.5261587346692,True
987,2025-03-18 16:00:00,2025-03-19 02:00:00,2,11,214.85000610351562,650.8952026367188,436.0451965332031,436.0451965332031,202.95330888802243,False
4658,2025-08-18 15:00:00,2025-08-19 05:00:00,5,15,226.64999389648438,662.1507568359375,435.5007629394531,435.5007629394531,192.1468231489806,False
7232,2025-12-03 21:00:00,2025-12-04 06:00:00,6,10,121.68000030517578,557.0537109375,435.3737106323242,435.3737106323242,357.80219390236573,True
